"","id","p_value","significant"
"154","AT1G03220","0.163116954649078","FALSE"
"155","AT1G03230","1.70964338337413e-07","TRUE"
"156","AT1G03260","0.499239922384357","FALSE"
"157","AT1G03280","0.954181805047331","FALSE"
"158","AT1G03290","0.00012889500457381","TRUE"
"159","AT1G03310","1.2585635362517e-12","TRUE"
"160","AT1G03330","0.327558754574523","FALSE"
"161","AT1G03350","0.301557486387532","FALSE"
"162","AT1G03360","0.0350708041676721","TRUE"
"163","AT1G03370","0.000524254688731612","TRUE"
"164","AT1G03380","0.960747826500883","FALSE"
"165","AT1G03400","0.0310378087368484","TRUE"
"166","AT1G03410","0.768153964603723","FALSE"
"167","AT1G03430","0.000401937130199973","TRUE"
"168","AT1G03440","0.0163753489488857","TRUE"
"169","AT1G03457","0.96482030235969","FALSE"
"170","AT1G03470","0.522667375652911","FALSE"
"171","AT1G03475","0.108649594240833","FALSE"
"172","AT1G03495","0.32063205829656","FALSE"
"173","AT1G03510","0.0285052594719663","TRUE"
"174","AT1G03520","0.234322289677117","FALSE"
"175","AT1G03530","0.676333032505369","FALSE"
"176","AT1G03550","0.110346893762737","FALSE"
"177","AT1G03560","0.0227406399784489","TRUE"
"178","AT1G03590","0.970025799337602","FALSE"
"179","AT1G03600","0.0221123915798051","TRUE"
"180","AT1G03610","5.8090025479714e-07","TRUE"
"181","AT1G03630","8.24391310863687e-17","TRUE"
"182","AT1G03680","3.11545250737926e-06","TRUE"
"183","AT1G03687","0.0107862978605715","TRUE"
"184","AT1G03730","0.000288611741702872","TRUE"
"185","AT1G03740","2.81180860053177e-17","TRUE"
"186","AT1G03750","0.0105052689389583","TRUE"
"187","AT1G03760","0.656355383981409","FALSE"
"188","AT1G03770","0.0381924080399407","TRUE"
"189","AT1G03820","0.000412318121633824","TRUE"
"190","AT1G03830","0.0863210447541801","FALSE"
"191","AT1G03850","4.87999753836647e-15","TRUE"
"192","AT1G03860","3.69746199424331e-06","TRUE"
"193","AT1G03870","3.89882691497927e-05","TRUE"
"194","AT1G03900","0.129725610378089","FALSE"
"195","AT1G03910","0.515146355912536","FALSE"
"196","AT1G03930","0.380941996910021","FALSE"
"197","AT1G03940","0.320620152487634","FALSE"
"198","AT1G03950","0.510293755941965","FALSE"
"199","AT1G03960","0.171068783822261","FALSE"
"200","AT1G03970","0.94988589745487","FALSE"
"201","AT1G03990","0.149146517135254","FALSE"
"202","AT1G04000","0.660350270874058","FALSE"
"203","AT1G04010","0.788474192916608","FALSE"
"204","AT1G04030","0.0677375296901403","FALSE"
"205","AT1G04040","0.0029227698469028","TRUE"
"206","AT1G04070","0.00937344411449481","TRUE"
"207","AT1G04080","0.780420930014771","FALSE"
"208","AT1G04100","0.0427231187689288","TRUE"
"209","AT1G04130","0.359887375482995","FALSE"
"210","AT1G04140","0.360769358403395","FALSE"
"211","AT1G04160","0.21867992527898","FALSE"
"212","AT1G04170","0.650859025225089","FALSE"
"213","AT1G04190","0.125504225818843","FALSE"
"214","AT1G04200","0.0816873541585355","FALSE"
"215","AT1G04210","0.000514652184587025","TRUE"
"216","AT1G04220","0.0115056190378368","TRUE"
"217","AT1G04230","0.424257614773883","FALSE"
"218","AT1G04240","5.75715233376161e-06","TRUE"
"219","AT1G04250","5.42444017124205e-05","TRUE"
"220","AT1G04260","0.000302516483613693","TRUE"
"221","AT1G04270","0.88353828306668","FALSE"
"222","AT1G04280","0.732746721283313","FALSE"
"223","AT1G04290","0.294521398960789","FALSE"
"224","AT1G04300","0.0581735670729708","FALSE"
"225","AT1G04310","0.276690792798931","FALSE"
"226","AT1G04340","4.02071234353839e-11","TRUE"
"227","AT1G04350","0.000943332433005222","TRUE"
"228","AT1G04390","0.393315428130542","FALSE"
"229","AT1G04400","0.365391432857956","FALSE"
"230","AT1G04410","0.420377517495759","FALSE"
"231","AT1G04420","1.30103417526226e-09","TRUE"
"232","AT1G04430","5.50098537830569e-07","TRUE"
"233","AT1G04440","0.00711202396258447","TRUE"
"234","AT1G04480","6.96209941173144e-12","TRUE"
"235","AT1G04510","0.000313078611379962","TRUE"
"236","AT1G04520","0.999956061290579","FALSE"
"237","AT1G04530","0.498813082631915","FALSE"
"238","AT1G04550","0.283934866169207","FALSE"
"239","AT1G04555","0.116263222659807","FALSE"
"240","AT1G04570","0.627862428862213","FALSE"
"241","AT1G04590","0.130328121083863","FALSE"
"242","AT1G04610","0.0288048066511057","TRUE"
"243","AT1G04620","0.01010302290867","TRUE"
"244","AT1G04630","0.0136303879766541","TRUE"
"245","AT1G04640","5.31948618495651e-07","TRUE"
"246","AT1G04660","3.71056165992186e-07","TRUE"
"247","AT1G04680","0.517029033536619","FALSE"
"248","AT1G04690","0.149678017514614","FALSE"
"249","AT1G04700","0.0136530637407585","TRUE"
"250","AT1G04710","0.83530148399444","FALSE"
"251","AT1G04750","0.716303836104459","FALSE"
"252","AT1G04770","0.000639361705912099","TRUE"
"253","AT1G04780","0.00154122216483432","TRUE"
"254","AT1G04790","0.756976306455905","FALSE"
"255","AT1G04800","0.0343180390665215","TRUE"
"256","AT1G04810","0.211645882823339","FALSE"
"257","AT1G04820","0.986063775843525","FALSE"
"258","AT1G04830","0.360407244950187","FALSE"
"259","AT1G04850","0.765752645234569","FALSE"
"260","AT1G04860","0.0376357454582521","TRUE"
"261","AT1G04870","0.00391005971162284","TRUE"
"262","AT1G04900","0.00531009540846766","TRUE"
"263","AT1G04910","3.76516451992678e-07","TRUE"
"264","AT1G04930","0.226963201243485","FALSE"
"265","AT1G04940","0.0001714753412418","TRUE"
"266","AT1G04945","0.378803330180461","FALSE"
"267","AT1G04950","0.077783223663201","FALSE"
"268","AT1G04960","0.878482978239637","FALSE"
"269","AT1G04970","0.939328050532917","FALSE"
"270","AT1G04980","5.12701460467018e-06","TRUE"
"271","AT1G04985","0.250435807390699","FALSE"
"272","AT1G04990","0.0504758382382368","FALSE"
"273","AT1G05000","6.69118560308745e-05","TRUE"
"274","AT1G05010","4.14807405407211e-29","TRUE"
"275","AT1G05020","0.717099319299544","FALSE"
"276","AT1G05030","0.733287470876331","FALSE"
"277","AT1G05055","0.398806732463824","FALSE"
"278","AT1G05060","0.645178095881199","FALSE"
"279","AT1G05070","1.31014594109802e-05","TRUE"
"280","AT1G05100","0.896425141497556","FALSE"
"281","AT1G05120","0.0721721882795019","FALSE"
"282","AT1G05135","0.594888234777951","FALSE"
"283","AT1G05140","2.85469054468943e-12","TRUE"
"284","AT1G05150","0.0695991374546395","FALSE"
"285","AT1G05160","0.0350786752181079","TRUE"
"286","AT1G05170","0.103135217939956","FALSE"
"287","AT1G05180","0.887800000791173","FALSE"
"288","AT1G05190","1.13847797357684e-06","TRUE"
"289","AT1G05200","0.219933462658212","FALSE"
"290","AT1G05205","0.054781664425851","FALSE"
"291","AT1G05210","0.635350359293257","FALSE"
"292","AT1G05230","0.400421216134999","FALSE"
"293","AT1G05270","0.215534096719647","FALSE"
"294","AT1G05300","3.43775864378303e-96","TRUE"
"295","AT1G05320","0.0783738742939602","FALSE"
"296","AT1G05340","0.000106362441452067","TRUE"
"297","AT1G05350","1.40992317054337e-06","TRUE"
"298","AT1G05360","0.191151017598556","FALSE"
"299","AT1G05370","0.527738737578202","FALSE"
"300","AT1G05380","0.0489550394635727","TRUE"
"301","AT1G05385","1.79916356341546e-06","TRUE"
"302","AT1G05410","0.0734409414554687","FALSE"
"303","AT1G05420","0.121954863989492","FALSE"
"304","AT1G05430","0.0687866318136004","FALSE"
"305","AT1G05460","0.00383039045415993","TRUE"
"306","AT1G05470","0.00312256910011401","TRUE"
"307","AT1G05500","0.824061645291146","FALSE"
"308","AT1G05520","0.000247410086635089","TRUE"
"309","AT1G05540","0.109447885369884","FALSE"
"310","AT1G05560","5.63088680046622e-07","TRUE"
"311","AT1G05570","0.157652751219882","FALSE"
"312","AT1G05575","0.0954727358470491","FALSE"
"313","AT1G05590","0.0355759170094397","TRUE"
"314","AT1G05600","0.0895720702944659","FALSE"
"315","AT1G05620","0.957264035207308","FALSE"
"316","AT1G05630","0.113166899119695","FALSE"
"317","AT1G05670","6.29242199216038e-05","TRUE"
"318","AT1G05680","0.128583959039752","FALSE"
"319","AT1G05690","0.0210005740311509","TRUE"
"320","AT1G05710","0.00201675377912638","TRUE"
"321","AT1G05720","0.978901116744125","FALSE"
"322","AT1G05730","0.841517836289989","FALSE"
"323","AT1G05750","0.0866475285035083","FALSE"
"324","AT1G05780","0.558718655877198","FALSE"
"325","AT1G05785","0.00319554535471474","TRUE"
"326","AT1G05790","0.816220062874997","FALSE"
"327","AT1G05805","7.18649948896236e-05","TRUE"
"328","AT1G05830","0.000375096545538965","TRUE"
"329","AT1G05840","0.0613220969956172","FALSE"
"330","AT1G05850","3.78238105926784e-05","TRUE"
"331","AT1G05860","0.521382895420718","FALSE"
"332","AT1G05870","0.280502020600188","FALSE"
"333","AT1G05890","0.0772272404521462","FALSE"
"334","AT1G05900","0.0100356158662923","TRUE"
"335","AT1G05910","4.36649793454636e-05","TRUE"
"336","AT1G05940","0.0163932659418145","TRUE"
"337","AT1G05960","0.501655037030019","FALSE"
"338","AT1G06000","0.100652578073733","FALSE"
"339","AT1G06010","0.245957776255438","FALSE"
"340","AT1G06040","3.33615806015717e-07","TRUE"
"341","AT1G06050","0.647625173617065","FALSE"
"342","AT1G06060","0.20025781357941","FALSE"
"343","AT1G06070","0.040728630334648","TRUE"
"344","AT1G06110","0.999994330601936","FALSE"
"345","AT1G06130","0.860371748578079","FALSE"
"346","AT1G06145","0.76310361053026","FALSE"
"347","AT1G06148","0.148815526494736","FALSE"
"348","AT1G06160","1.12777383475014e-07","TRUE"
"349","AT1G06180","0.0117880715248238","TRUE"
"350","AT1G06190","0.0478413194310391","TRUE"
"351","AT1G06200","0.108407385803218","FALSE"
"352","AT1G06210","1.50030294881925e-05","TRUE"
"353","AT1G06220","0.00287223651183817","TRUE"
"354","AT1G06230","0.533436535214452","FALSE"
"355","AT1G06240","6.88009655695966e-07","TRUE"
"356","AT1G06270","0.389013404950573","FALSE"
"357","AT1G06290","1.04373893432725e-05","TRUE"
"358","AT1G06340","0.0109574723601996","TRUE"
"359","AT1G06380","0.729117680164506","FALSE"
"360","AT1G06390","0.433353136538951","FALSE"
"361","AT1G06400","0.94237588518741","FALSE"
"362","AT1G06410","0.122673027135241","FALSE"
"363","AT1G06430","1.23427668691278e-06","TRUE"
"364","AT1G06450","0.187038817751983","FALSE"
"365","AT1G06460","0.00201219740848015","TRUE"
