"","X","id","p_value","significant","significant_fdr"
"15540",15540,"AT5G53710",0.739013715225646,TRUE,TRUE
"6036",6036,"AT2G36320",0.739043196882273,TRUE,TRUE
"13702",13702,"AT5G16490",0.739048063605762,TRUE,TRUE
"1927",1927,"AT1G30580",0.739163966752231,TRUE,TRUE
"14248",14248,"AT5G24915",0.739186669019123,TRUE,TRUE
"9021",9021,"AT3G46220",0.739321661070143,TRUE,TRUE
"2101",2101,"AT1G33470",0.739360965004285,TRUE,TRUE
"5094",5094,"AT2G21380",0.739569486725196,TRUE,TRUE
"11425",11425,"AT4G22320",0.739594019413231,TRUE,TRUE
"15507",15507,"AT5G53160",0.73974489388095,TRUE,TRUE
"9496",9496,"AT3G53510",0.739973200531779,TRUE,TRUE
"8258",8258,"AT3G20050",0.740210232214885,TRUE,TRUE
"6449",6449,"AT2G41890",0.740216770243767,TRUE,TRUE
"8193",8193,"AT3G19230",0.740342224462715,TRUE,TRUE
"6681",6681,"AT2G45270",0.740419299009622,TRUE,TRUE
"5727",5727,"AT2G31660",0.74055920733923,TRUE,TRUE
"7073",7073,"AT3G03560",0.740591258810811,TRUE,TRUE
"1576",1576,"AT1G24148",0.740710954862684,TRUE,TRUE
"6350",6350,"AT2G40600",0.740976752750539,TRUE,TRUE
"8816",8816,"AT3G29280",0.741015497182196,TRUE,TRUE
"7097",7097,"AT3G03900",0.741226835501024,TRUE,TRUE
"481",481,"AT1G08000",0.741406319972523,TRUE,TRUE
"11339",11339,"AT4G21100",0.741471725149226,TRUE,TRUE
"14185",14185,"AT5G24020",0.74150006581644,TRUE,TRUE
"16249",16249,"AT5G64140",0.741508762578214,TRUE,TRUE
"9024",9024,"AT3G46290",0.741698255861483,TRUE,TRUE
"16187",16187,"AT5G63310",0.741711001750183,TRUE,TRUE
"4772",4772,"AT2G16365",0.741822639661162,TRUE,TRUE
"12105",12105,"AT4G32250",0.741911766897962,TRUE,TRUE
"3787",3787,"AT1G73360",0.742029686062312,TRUE,TRUE
"4186",4186,"AT1G79010",0.742099218192481,TRUE,TRUE
"519",519,"AT1G08530",0.742236197405093,TRUE,TRUE
"6782",6782,"AT2G46600",0.742280479764881,TRUE,TRUE
"6325",6325,"AT2G40250",0.742321157401994,TRUE,TRUE
"5051",5051,"AT2G20820",0.742338431225583,TRUE,TRUE
"13076",13076,"AT5G06780",0.742351674752583,TRUE,TRUE
"12546",12546,"AT4G38250",0.74245056862284,TRUE,TRUE
"8115",8115,"AT3G18090",0.742535783989621,TRUE,TRUE
"7796",7796,"AT3G13772",0.742538072538435,TRUE,TRUE
"14226",14226,"AT5G24620",0.742622640760168,TRUE,TRUE
"14657",14657,"AT5G39865",0.742631160516038,TRUE,TRUE
"15165",15165,"AT5G47750",0.742660833503795,TRUE,TRUE
"832",832,"AT1G12970",0.742720602213788,TRUE,TRUE
"15726",15726,"AT5G56460",0.742722170318216,TRUE,TRUE
"3297",3297,"AT1G65870",0.74274873022067,TRUE,TRUE
"13134",13134,"AT5G07770",0.742849314834069,TRUE,TRUE
"16214",16214,"AT5G63710",0.742913429561935,TRUE,TRUE
"9764",9764,"AT3G57240",0.742918779817261,TRUE,TRUE
"14225",14225,"AT5G24610",0.743054416741421,TRUE,TRUE
"1345",1345,"AT1G20640",0.743184351835398,TRUE,TRUE
"171",171,"AT1G03470",0.74321586010639,TRUE,TRUE
"14017",14017,"AT5G20920",0.74323727072594,TRUE,TRUE
"8854",8854,"AT3G32240",0.743241266923482,TRUE,TRUE
"9272",9272,"AT3G50520",0.743338228694575,TRUE,TRUE
"7550",7550,"AT3G10420",0.743345833232702,TRUE,TRUE
"4242",4242,"AT1G79750",0.743411540531059,TRUE,TRUE
"6109",6109,"AT2G37340",0.743523857807418,TRUE,TRUE
"5627",5627,"AT2G30280",0.743537866145109,TRUE,TRUE
"7994",7994,"AT3G16350",0.743542190335671,TRUE,TRUE
"632",632,"AT1G10030",0.743557248661633,TRUE,TRUE
"7827",7827,"AT3G14130",0.743565990485431,TRUE,TRUE
"3657",3657,"AT1G71360",0.743616038011478,TRUE,TRUE
"7340",7340,"AT3G07180",0.743775260885914,TRUE,TRUE
"1045",1045,"AT1G15970",0.743777071162265,TRUE,TRUE
"15542",15542,"AT5G53740",0.744043645483115,TRUE,TRUE
"5984",5984,"AT2G35650",0.744089872916556,TRUE,TRUE
"9811",9811,"AT3G57950",0.744141490248031,TRUE,TRUE
"10201",10201,"AT4G00450",0.744157110608962,TRUE,TRUE
"7172",7172,"AT3G04980",0.744236206159447,TRUE,TRUE
"13323",13323,"AT5G10770",0.744293856837851,TRUE,TRUE
"1979",1979,"AT1G31440",0.744333720955225,TRUE,TRUE
"4636",4636,"AT2G07787",0.744443394835574,TRUE,TRUE
"604",604,"AT1G09690",0.744589518709698,TRUE,TRUE
"15577",15577,"AT5G54300",0.744634346698955,TRUE,TRUE
"4057",4057,"AT1G77160",0.744773226800761,TRUE,TRUE
"13662",13662,"AT5G15980",0.744780802531805,TRUE,TRUE
"7316",7316,"AT3G06830",0.744830568021163,TRUE,TRUE
"4670",4670,"AT2G12550",0.74484061633654,TRUE,TRUE
"8525",8525,"AT3G24440",0.744933930592165,TRUE,TRUE
"3300",3300,"AT1G65950",0.744965133526009,TRUE,TRUE
"8877",8877,"AT3G42270",0.744977496886938,TRUE,TRUE
"9991",9991,"AT3G60980",0.744993673109423,TRUE,TRUE
"15611",15611,"AT5G54800",0.744999716544006,TRUE,TRUE
