"","X","id","p_value","significant","significant_fdr"
"15485",15485,"AT5G53110",2.75090243402916e-47,TRUE,FALSE
"6081",6081,"AT2G37040",3.02414701651585e-47,TRUE,FALSE
"9384",9384,"AT3G52190",3.60295714280271e-47,TRUE,FALSE
"11979",11979,"AT4G30690",6.10139258895503e-47,TRUE,FALSE
"6667",6667,"AT2G45220",1.10520790689226e-46,TRUE,FALSE
"467",467,"AT1G07890",2.19395532397101e-46,TRUE,FALSE
"1194",1194,"AT1G18300",4.26035528393743e-46,TRUE,FALSE
"2576",2576,"AT1G52200",6.52317115563434e-46,TRUE,FALSE
"2560",2560,"AT1G51850",1.38369129736647e-45,TRUE,FALSE
"4273",4273,"AT1G80300",1.81264266899329e-45,TRUE,FALSE
"1170",1170,"AT1G17860",1.84333555892389e-45,TRUE,FALSE
"6377",6377,"AT2G41010",1.98718498804041e-45,TRUE,FALSE
"9458",9458,"AT3G53180",2.27081977491717e-45,TRUE,FALSE
"15035",15035,"AT5G46110",2.84593391398295e-45,TRUE,FALSE
"3027",3027,"AT1G61360",8.21937155123334e-45,TRUE,FALSE
"6248",6248,"AT2G39420",1.52635267260584e-44,TRUE,FALSE
"1277",1277,"AT1G19640",2.25575288832394e-44,TRUE,FALSE
"4584",4584,"AT2G06850",2.29355585006162e-44,TRUE,FALSE
"15402",15402,"AT5G51820",3.32935036519571e-44,TRUE,FALSE
"3029",3029,"AT1G61380",3.87262818704177e-44,TRUE,FALSE
"9773",9773,"AT3G57550",7.80937705603928e-44,TRUE,FALSE
"15614",15614,"AT5G55050",9.56578072831863e-44,TRUE,FALSE
"10076",10076,"AT3G62550",3.02004075056098e-43,TRUE,FALSE
"16230",16230,"AT5G64130",3.87974580174324e-43,TRUE,FALSE
"7837",7837,"AT3G14420",5.65279217147079e-43,TRUE,FALSE
"13934",13934,"AT5G19940",8.58204339778178e-43,TRUE,FALSE
"14773",14773,"AT5G42100",1.05542725458867e-42,TRUE,FALSE
"2609",2609,"AT1G52720",1.39600314146291e-42,TRUE,FALSE
"12330",12330,"AT4G35480",1.46196314284902e-42,TRUE,FALSE
"13579",13579,"AT5G14910",1.5385849472434e-42,TRUE,FALSE
"6004",6004,"AT2G35930",2.41300789547545e-42,TRUE,FALSE
"15429",15429,"AT5G52240",2.74586018017232e-42,TRUE,FALSE
"14292",14292,"AT5G26030",3.09413770450171e-42,TRUE,FALSE
"9624",9624,"AT3G55430",3.73331340745411e-42,TRUE,FALSE
"14432",14432,"AT5G31702",4.17591304961371e-42,TRUE,FALSE
"12477",12477,"AT4G37520",4.51433607042003e-42,TRUE,FALSE
"5736",5736,"AT2G31880",4.81861237517201e-42,TRUE,FALSE
"15275",15275,"AT5G49730",9.10087761830878e-42,TRUE,FALSE
"12604",12604,"AT4G39230",1.00313844391642e-41,TRUE,FALSE
"11344",11344,"AT4G21410",1.187336273104e-41,TRUE,FALSE
"2620",2620,"AT1G52890",1.66342342893679e-41,TRUE,FALSE
"10321",10321,"AT4G02330",1.4027587541989e-40,TRUE,FALSE
"5727",5727,"AT2G31750",1.57822057741464e-40,TRUE,FALSE
"1013",1013,"AT1G15520",2.42706011581673e-40,TRUE,FALSE
"16202",16202,"AT5G63800",1.57787261973666e-39,TRUE,FALSE
"11605",11605,"AT4G25110",2.06697587638944e-39,TRUE,FALSE
"8468",8468,"AT3G23700",2.96707256720447e-39,TRUE,FALSE
"6688",6688,"AT2G45570",5.04029617871834e-39,TRUE,FALSE
"621",621,"AT1G09932",8.74052606423023e-39,TRUE,FALSE
"6062",6062,"AT2G36800",1.18061222328858e-38,TRUE,FALSE
"11326",11326,"AT4G21120",1.25471437036368e-38,TRUE,FALSE
